Mental disorder - 精神障碍,M001001,Mental disorder,精神障碍,/ˈmɛntəl dɪˈsɔrdər/,P.,精神,,"Mental disorder is a clinically significant disturbance in cognition, emotion regulation, or behavior that reflects dysfunction in psychological, biological, or developmental processes and causes distress or impairment.",ment al dis order,mind pertaining_to not arrangement,250916T058,「why」
Mental illness - 精神疾病,M001002,Mental illness,精神疾病,/ˈmɛntəl ˈɪlnəs/,P.,精神,,"Mental illness refers to a range of medical conditions that affect a person's thinking, mood, or behavior.",ment al,mind pertaining_to,250916T058,「why」
Abnormal psychology - 变态心理学,M001003,Abnormal psychology,变态心理学,/æbˈnɔrməl saɪˈkɑlədʒi/,P.,心理,,"Abnormal psychology is the branch of psychology that studies unusual patterns of behavior, emotion, and thought, including mental disorders.",ab normal psycho logy,away_from norm mind study_of,250916T058,「why」
Psychopathology - 精神病理学,M001004,Psychopathology,精神病理学,/ˌsaɪkoʊpəˈθɑlədʒi/,n.,心理,,"Psychopathology is the scientific study of mental disorders, including their symptoms, causes, and development.",psycho path ology,mind disease study_of,250916T058,「why」
Mental health professional - 精神卫生专业人员,M001005,Mental health professional,精神卫生专业人员,/ˈmɛntəl hɛlθ prəˈfɛʃənəl/,P.,心理,,A Mental health professional is a trained practitioner who assesses and treats people with mental health conditions and promotes psychological well-being.,ment al profess ion al,mind relating_to declare act_or_state relating_to,250916T058,「why」
Psychodiagnosis - 心理诊断,M001006,Psychodiagnosis,心理诊断,/ˌsaɪkoʊdaɪəɡˈnoʊsɪs/,n.,心理,,Psychodiagnosis is the clinical process of assessing and classifying an individual's psychological condition to guide diagnosis and treatment.,psycho dia gnosis,mind through knowledge,250916T058,「why」
Treatment plan - 治疗计划,M001007,Treatment plan,治疗计划,/ˈtritmənt plæn/,P.,醫學,,A Treatment plan is a documented schedule of medical or therapeutic interventions designed to address a patient's condition.,ment,result_of,250916T058,「why」
Etiology - 病因学,M001008,Etiology,病因学,/ˌiːtiˈɑlədʒi/,n.,醫學,,Etiology is the study of the causes of diseases.,eti o logy,cause connector study_of,250916T058,「why」
Psychotherapy - 心理治疗,M001009,Psychotherapy,心理治疗,/ˌsaɪkoʊˈθɛrəpi/,n.,心理,,Psychotherapy is the treatment of mental and emotional disorders through psychological techniques rather than medical means.,psycho therapy,mind treatment,250916T058,「why」
Hallucination - 幻觉,M001010,Hallucination,幻觉,/həˌluːsəˈneɪʃən/,n.,心理,,Hallucination is a sensory experience in which a person perceives something that is not actually present in the external world.,hallucin ation,wander_in_mind process,250916T058,「why」
Culture - 文化,M001011,Culture,文化,/ˈkʌltʃɚ/,n.,,,"Culture is the shared beliefs, customs, arts, institutions, and social practices of a particular group of people.",cult ure,cultivate act_result,250916T058,「why」
Cultural relativism - 文化相对主义,M001012,Cultural relativism,文化相对主义,/ˈkʌltʃərəl ˌrɛləˈtɪvɪzəm/,P.,人類,,Cultural relativism is the view that beliefs and practices should be understood in terms of a particular culture's own norms and values rather than judged by external standards.,culture al relativ ism,culture pertaining_to relative doctrine,250916T058,「why」
Cultural universality - 文化普遍性,M001013,Cultural universality,文化普遍性,/ˈkʌltʃərəl ˌjuːnɪvɚˈsælɪti/,P.,人類,,"Cultural universality refers to traits, behaviors, or norms that are found across all human cultures.",culture uni vers al ity,culture one turn pertaining_to state_or_quality,250916T058,「why」
Psychiatric epidemiology - 精神病学流行病学,M001014,Psychiatric epidemiology,精神病学流行病学,/ˌsaɪkiˈætrɪk ˌɛpɪdiˈmiɑlədʒi/,P.,精神,,"Psychiatric epidemiology is the study of the distribution, causes, and risk factors of mental disorders in populations.",psycho iatr ic epi dem ology,mind heal pertaining upon people study_of,250916T058,「why」
Prevalence - 患病率,M001015,Prevalence,患病率,/ˈprɛvələns/,n.,醫學,,Prevalence is the proportion of a population affected by a particular disease at a given time.,pre val ence,before be_strong state_or_quality,250916T058,「why」
Lifetime prevalence - 终生患病率,M001016,Lifetime prevalence,终生患病率,/ˈlaɪftaɪm ˈprɛvələns/,P.,,,Lifetime prevalence is the proportion of individuals in a population who have ever experienced a specified disease or condition at any time during their lives.,pre val ence,before be_strong noun_state,250916T058,「why」
