Mental disorder - 精神障碍,M000101,Mental disorder,精神障碍,/ˈmɛntəl dɪsˈɔrdɚ/,P.,精神,,"A mental disorder is a health condition characterized by significant disturbances in an individual's thoughts, emotions, or behavior.",ment dis,mind not,250916ZA58,「i j gh」
Mental illness - 精神疾病,M000102,Mental illness,精神疾病,/ˈmɛntəl ˈɪlnəs/,P.,精神,,"Mental illness is a diagnosable condition that affects a person's thinking, emotions, or behavior and causes significant distress or impairment.",ment al,mind pertaining_to,250916ZA58,「i j gh」
Abnormal psychology - 变态心理学,M000103,Abnormal psychology,变态心理学,/æbˈnɔrməl saɪˈkɑlədʒi/,P.,心理,,"Abnormal psychology is the branch of psychology that studies mental disorders, atypical behavior, and emotional dysfunction.",ab normal psycho logy,away standard mind study_of,250916ZA58,「i j gh」
Psychopathology - 精神病理学,M000104,Psychopathology,精神病理学,/ˌsaɪkoʊpəˈθɑlədʒi/,n.,心理,,"Psychopathology is the scientific study of mental disorders, their symptoms, causes, and development.",psycho patho logy,mind disease study_of,250916ZA58,「i j gh」
Mental health professional - 精神卫生专业人员,M000105,Mental health professional,精神卫生专业人员,/ˈmɛntəl hɛlθ prəˈfɛʃənəl/,P.,心理,,"A mental health professional is a trained practitioner who assesses, diagnoses, and treats mental and emotional disorders.",ment al pro fess ion,mind relating_to for declare act_or_result,250916ZA58,「i j gh」
Psychodiagnosis - 心理诊断,M000106,Psychodiagnosis,心理诊断,/ˌsaɪkoʊdaɪəɡˈnoʊsɪs/,n.,心理,,"Psychodiagnosis is the clinical assessment and diagnosis of an individual's psychological condition using tests, observation, and interviews.",psycho diagnosis,mind judgment,250916ZA58,「i j gh」
Treatment plan - 治疗计划,M000107,Treatment plan,治疗计划,/ˈtritmənt plæn/,P.,醫學,,"A Treatment plan is a written outline of the medical procedures, therapies, and timelines designed to improve or manage a patient's condition.",,,250916ZA58,「i j gh」
Etiology - 病因学,M000108,Etiology,病因学,/ˌiːtiˈɑlədʒi/,n.,醫學,,Etiology is the study of the causes of diseases.,etio logy,cause study_of,250916ZA58,「i j gh」
Psychotherapy - 心理治疗,M000109,Psychotherapy,心理治疗,/ˌsaɪkoʊˈθɛrəpi/,n.,心理,,Psychotherapy is the treatment of mental or emotional disorders through psychological techniques and talk-based interventions.,psycho therapy,mind treatment,250916ZA58,「i j gh」
Hallucination - 幻觉,M000110,Hallucination,幻觉,/həˌluːsəˈneɪʃən/,n.,精神,,Hallucination is a perception-like experience in which a person senses something that seems real despite there being no external stimulus.,hallucin ation,illusion action_or_process,250916ZA58,「i j gh」
Culture - 文化,M000111,Culture,文化,/ˈkʌltʃɚ/,n.,,,"Culture is the set of shared beliefs, practices, arts, and social behaviors of a particular group of people.",cult ure,cultivate act_of,250916ZA58,「i j gh」
Cultural relativism - 文化相对主义,M000112,Cultural relativism,文化相对主义,/ˈkʌltʃərəl rɛˈlætɪvɪzəm/,P.,人類,,"Cultural relativism is the view that beliefs, values, and practices should be understood relative to their cultural context rather than judged by external standards.",,,250916ZA58,「i j gh」
Cultural universality - 文化普遍性,M000113,Cultural universality,文化普遍性,/ˈkʌltʃərəl ˌjunɪvɚˈsælɪti/,P.,人類,,"Cultural universality refers to the idea that certain beliefs, practices, or values are common across different societies.",culture uni vers al ity,culture one turn relating_to quality,250916ZA58,「i j gh」
Psychiatric epidemiology - 精神病学流行病学,M000114,Psychiatric epidemiology,精神病学流行病学,/ˌsaɪkiˈætrɪk ˌɛpɪdiˌmiˈɑlədʒi/,P.,精神,,"Psychiatric epidemiology is the study of the distribution, causes, and prevention of mental disorders in populations.",psyche iatr epi demo ology,mind medical_treatment upon people study_of,250916ZA58,「i j gh」
Prevalence - 患病率,M000115,Prevalence,患病率,/ˈprɛvələns/,n.,醫學,,Prevalence is the proportion of a population that has a particular disease at a specific time.,pre val ence,before be_strong state_or_quality,250916ZA58,「i j gh」
Lifetime prevalence - 终生患病率,M000116,Lifetime prevalence,终生患病率,/ˈlaɪfˌtaɪm ˈprɛvələns/,P.,,,Lifetime prevalence is the proportion of individuals in a population who have experienced a specified disorder at any time during their life.,pre valence,before strength,250916ZA58,「i j gh」
