AP - 动作电位,M000222,AP,动作电位,,abbr.,,,AP refers to an action potential in neuroscience.,"During neuron firing, an AP occurs leading to transmission of signals across synapses.",,,251013C036,
Propagation - 传导,M000223,Propagation,传导,/ˌprɑːpəˈɡeɪʃən/,n.,物理,,Propagation is the process by which waves or forces are transmitted through a medium.,The propagation of sound through the air allows us to hear.,pro pagation,forward carrying,251013C036,
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪ.əˈleɪʃən/,n.,生物,,Myelination is the process by which myelin sheaths form around the nerves.,Proper nutrition is crucial for the developmental stages of myelination in children.,myel in ation,marrow fiber process,251013C036,
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/ˈsɔltəˌtɔri kənˈdʌkʃən/,P.,生物,,"Saltatory conduction is the process by which nerve signals jump between nodes of Ranvier, speeding up transmission.",Saltatory conduction allows for faster transmission of nerve impulses compared to continuous conduction in unmyelinated fibers.,salto con duct ion,leap with lead act_of,251013C036,
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/diːˈmaɪəlɪneɪtɪŋ dɪsˈɔrdərz/,P.,醫學,RARE,"Demyelinating disorders are diseases that damage the protective covering of nerve fibers, leading to neurological problems.",Multiple sclerosis is one of the most well-known demyelinating disorders.,de myelin ate,remove marrow related_to,251013C036,
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,,P.,生物,RARE,Lectrochemical gradients are established across cell membranes to facilitate the movement of ions and molecules.,Neurons use lectrochemical gradients to transmit signals rapidly along axons.,,,251013C036,
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɑnɪk ˈmuvmənt/,P.,化學,RARE,Ionic movement refers to the displacement of ions within an electric field.,The laboratory experiment measured the ionic movement in a saline solution under the influence of an applied voltage.,ion ic,go inter,251013C036,
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,數學,,A trivial case is an instance of a problem that is simple or obvious and doesn't require much thought to solve.,"In mathematics, proving a theorem often begins with considering the trivial case to simplify the problem.",trivi al cas,three road situation,251013C036,
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbreɪn pəˈtɛnʃəl/,P.,生物,,Membrane potential is the voltage difference across a cell's membrane.,The membrane potential is crucial for nerve impulse transmission in neurons.,membrane potentia al,thin_layer power related_to,251013C036,
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˌeɪtiːˈpiːeɪs/,n.,生化,,An ATPase is an enzyme that catalyzes the decomposition of ATP into ADP and a free phosphate ion.,"ATPase activity is crucial for muscle contraction, as it helps in the breakdown of ATP to release energy.",a t p ase,adenosine_triphosphate enzyme,251013C036,
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,,abbr.,生物,,The S-P pump is crucial for maintaining the electrochemical gradient in cells.,Researchers study the S-P pump to understand its role in nerve signal transmission.,,,251013C036,
Ion pump - 离子泵,M000233,Ion pump,离子泵,/ˈaɪən pʌmp/,P.,物理,,An ion pump is a device that uses electric fields to move ions across a membrane or in a vacuum.,The ion pump was used to maintain low pressure in the vacuum chamber during the experiment.,ion pump,ion pump,251013C036,
Depolarization - 去极化,M000234,Depolarization,去极化,/ˌdiːˌpoʊlərɪˈzeɪʃən/,n.,生物,,Depolarization is a process by which a cell's membrane potential becomes less negative.,"During neural activity, depolarization occurs when sodium ions rush into the neuron.",de polar ization,remove pole process,251013C036,
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˌhaɪpərˌpoʊlərɪˈzeɪʃən/,n.,生物,,Hyperpolarization occurs when a neuron's membrane potential becomes more negative than its resting potential.,"The administration of certain drugs can lead to hyperpolarization of neuronal membranes, inhibiting nerve signal transmission.",hyper polar ization,over axis process,251013C036,
Synapse - 突触,M000236,Synapse,突触,/ˈsɪnæps/,n.,生物,,A synapse is the junction between two neurons where impulses pass by diffusion of a neurotransmitter.,"The electric signal from the neuron travels across the synapse to the next neuron, allowing for signal transmission.",syn apse,together join,251013C036,
Repolarization - 复极化,M000237,Repolarization,复极化,/riˌpoʊlərɪˈzeɪʃən/,n.,生物,,Repolarization is the process by which a cell membrane returns to its resting potential after depolarization.,"During cardiac repolarization, the heart muscle cells restore their resting state, preparing for the next contraction.",re polar ization,again pole process_of,251013C036,
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,/ˈkɛmɪkəl ˈɡreɪdiənt/,P.,生物,,A chemical gradient is the directional difference in chemical concentration across a space or membrane.,Cells often respond to a chemical gradient by moving towards higher concentrations of a signaling molecule.,chem ic al grad ient,chemical pertaining_to chemical step moving_toward,251013C036,
Intracellular - 细胞内,M000239,Intracellular,细胞内,/ˌɪntrəˈsɛljələr/,adj.,生物,,Intracellular means located or occurring within a cell.,The intracellular proteins play a crucial role in cellular processes.,intra cell,inside cell,251013C036,
Concentration - 浓度,M000240,Concentration,浓度,/ˌkɑːnsənˈtreɪʃən/,n.,化學,,Concentration refers to the amount of a substance present in a certain volume of solution.,The concentration of salt in the seawater affects its density.,con centr ation,with center state_of,251013C036,
Phospholipid - 磷脂,M000241,Phospholipid,磷脂,/ˌfɒsfoʊˈlɪpɪd/,n.,生物,,A phospholipid is a type of lipid molecule that is a major component of cell membranes.,The phospholipid bilayer forms the structural basis of all cellular membranes.,phospho lipid,phosphorus fat,251013C036,
Bilayer - 双层,M000242,Bilayer,双层,/ˈbaɪˌleɪər/,n.,生物,,A bilayer consists of two layers of molecules arranged in parallel lines.,The cell membrane is a bilayer made of lipids and proteins.,bi layer,two layer,251013C036,
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,/məˈmeɪliən/,adj.,生物,,Mammalian refers to animals that are characterized by the presence of mammary glands in females which produce milk for feeding their young.,The mammalian heart is a highly efficient organ that supports a warm-blooded existence.,mamma,breast,251013C036,
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布,,P.,化學,RARE,Canonical ionic distributions refer to the typical arrangement of ions in a given system.,"In certain chemical reactions, understanding canonical ionic distributions is crucial for predicting outcomes.",canon ic ion,rule_guide pertaining_to going_ion,251013C036,
Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,,P.,,RARE,Graded (Passive) potentials are changes in membrane potential that decrease in strength as they spread from the point of origin.,"In neurons, graded (passive) potentials play a crucial role in the summation of inputs before action potentials are generated.",grad pass pot,step pass power,251013C036,
Threshold potential - 阈电位,M000246,Threshold potential,阈电位,/ˈθrɛʃhoʊld pəˈtɛnʃəl/,P.,生理,RARE,Threshold potential is the critical level to which a membrane potential must be depolarized to initiate an action potential.,"During a nerve impulse, reaching the threshold potential causes the neuron to fire.",thresh hold poten tial,barrier hold power relating_to,251013C036,
Overshoot - 超冲,M000247,Overshoot,超冲,/ˌoʊvərˈʃuːt/,vt.,物理,,To overshoot means to go beyond an intended point or target.,The spaceship will overshoot the planet if the trajectory is not corrected.,over shoot,beyond project,251013C036,
Undershoot - 下冲,M000248,Undershoot,下冲,/ˌʌndərˈʃuːt/,vt.,航空,,To undershoot means to fall short of reaching a target or goal.,"Due to miscalculation, the rocket might undershoot its intended destination.",,,251013C036,
Drift - 漂移,M000249,Drift,漂移,/drɪft/,vi.,物理,,Drift is when something is carried slowly by a current of air or water.,The boat began to drift away from the shore as the tide changed.,,,251013C036,
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,,P.,生物,RARE,V-G ion channels are important for the propagation of electrical signals in nerve cells.,Researchers are studying V-G ion channels to develop new treatments for neurological disorders.,,,251013C036,
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,/ˈɡæstrəˌpɑd/,n.,生物,,A gastropod is a type of mollusk that typically has a univalve shell and a muscular foot used for locomotion.,The snail is a common example of a gastropod found in gardens.,gastro pod,stomach foot,251013C036,
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,/ˈnoʊdz əv ˈrɑnviˌeɪ/,P.,生物,,Nodes of Ranvier are small gaps in the myelin sheath of nerve fibers.,The rapid conduction of nerve impulses is facilitated by the nodes of Ranvier.,,,251013C036,
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导,/ˈsɔltəˌtɔri kənˈdʌkʃən/,P.,生物,,Saltatory conduction is the process by which nerve impulses jump between the nodes of Ranvier in myelinated axons.,Saltatory conduction allows for faster transmission of nerve signals compared to continuous conduction.,saltat ory conduction,jump state_of leading,251013C036,
Pathologies - 病理学,M000254,Pathologies,病理学,/pəˈθɑlədʒiz/,n.,醫學,,Pathologies is the scientific study of diseases and their effects on the body.,Pathologies such as cancer and diabetes have been the focus of medical research for many years.,patho logy,disease study_of,251013C036,
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,/ˌɔːtəʊɪˈmjuːn/,adj.,醫學,,Autoimmune diseases occur when the body's immune system attacks its own tissues.,Lupus is an example of an autoimmune condition that can affect multiple organs.,auto immunis,self exempt,251013C036,
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,/ˌmʌltəpəl skləˈroʊsɪs/,P.,醫學,,"Multiple sclerosis is a chronic disease that affects the central nervous system, leading to disability over time.",The patient was diagnosed with multiple sclerosis after experiencing vision problems and muscle weakness.,multi ple sclero sis,many fold hard condition,251013C036,
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,/ɡiːˌ(j)æ̃ bəˈreɪ ˈsɪndroʊm/,P.,醫學,,Guillain-Barré syndrome is a rare neurological disorder that can cause sudden muscle weakness and paralysis.,"After a viral infection, she was diagnosed with Guillain-Barré syndrome when she started experiencing severe weakness in her legs.",,,251013C036,
